Province,Riding English,Riding French,Candidate English,Candidate French,Party,Votes,Elected
Ontario,Glengarry--Prescott--Russell,Glengarry--Prescott--Russell,Jean-Sébastien Caron,Jean-Sébastien Caron,New Democratic Party,5678,
Ontario,Glengarry--Prescott--Russell,Glengarry--Prescott--Russell,Pierre Lemieux,Pierre Lemieux,Conservative Party of Canada,25659,
Ontario,Glengarry--Prescott--Russell,Glengarry--Prescott--Russell,Sylvie Lemieux,Sylvie Lemieux,Green Party of Canada,2908,
Ontario,Bruce--Grey--Owen Sound,Bruce--Grey--Owen Sound,Dick Hibma,Dick Hibma,Green Party of Canada,13095,
Ontario,Bruce--Grey--Owen Sound,Bruce--Grey--Owen Sound,Joel Kidd,Joel Kidd,Christian Heritage Party of Canada,599,
Ontario,Bruce--Grey--Owen Sound,Bruce--Grey--Owen Sound,Jill McIllwraith,Jill McIllwraith,New Democratic Party,4640,
Ontario,Bruce--Grey--Owen Sound,Bruce--Grey--Owen Sound,Larry Miller,Larry Miller,Conservative Party of Canada,22975,
Ontario,Bruce--Grey--Owen Sound,Bruce--Grey--Owen Sound,Thom Noble,Thom Noble,Liberal Party of Canada,6892,
Ontario,Guelph,Guelph,Philip Bender,Philip Bender,Libertarian Party of Canada,159,
Ontario,Guelph,Guelph,Manuel Couto,Manuel Couto,Marxist-Leninist Party of Canada,29,
Ontario,Guelph,Guelph,Drew Garvie,Drew Garvie,Communist Party of Canada,77,
Ontario,Guelph,Guelph,Tom King,Tom King,New Democratic Party,9713,
Ontario,Guelph,Guelph,Kornelis Klevering,Kornelis Klevering,Marijuana Party,166,
Ontario,Guelph,Guelph,Gloria Kovach,Gloria Kovach,Conservative Party of Canada,17186,
Ontario,Guelph,Guelph,Karen Levenson,Karen Levenson,Animal Alliance Environment Voters Party of Canada,73,
Ontario,Guelph,Guelph,Mike Nagy,Mike Nagy,Green Party of Canada,12454,
Ontario,Guelph,Guelph,John Turmel,John Turmel,Independent,58,
Ontario,Guelph,Guelph,Frank Valeriote,Frank Valeriote,Liberal Party of Canada,18974,
Ontario,Haldimand--Norfolk,Haldimand--Norfolk,Steven Elgersma,Steven Elgersma,Christian Heritage Party of Canada,501,
Ontario,Haldimand--Norfolk,Haldimand--Norfolk,Diane Finley,Diane Finley,Conservative Party of Canada,19657,
Ontario,Haldimand--Norfolk,Haldimand--Norfolk,Eric Hoskins,Eric Hoskins,Liberal Party of Canada,15577,
Ontario,Haldimand--Norfolk,Haldimand--Norfolk,Stephana Johnston,Stephana Johnston,Green Party of Canada,2041,
Ontario,Haldimand--Norfolk,Haldimand--Norfolk,Gary McHale,Gary McHale,Independent,4821,
Ontario,Haldimand--Norfolk,Haldimand--Norfolk,Ian Nichols,Ian Nichols,New Democratic Party,5549,
Ontario,Haliburton--Kawartha Lakes--Brock,Haliburton--Kawartha Lakes--Brock,Michael Bell,Michael Bell,Green Party of Canada,4505,
Ontario,Haliburton--Kawartha Lakes--Brock,Haliburton--Kawartha Lakes--Brock,Barry Devolin,Barry Devolin,Conservative Party of Canada,30391,
Ontario,Haliburton--Kawartha Lakes--Brock,Haliburton--Kawartha Lakes--Brock,Dave Switzer,Dave Switzer,Christian Heritage Party of Canada,374,
Ontario,Haliburton--Kawartha Lakes--Brock,Haliburton--Kawartha Lakes--Brock,Marlene White,Marlene White,Liberal Party of Canada,11093,
Ontario,Haliburton--Kawartha Lakes--Brock,Haliburton--Kawartha Lakes--Brock,Stephen Yardy,Stephen Yardy,New Democratic Party,7952,
Ontario,Halton,Halton,Amy Collard,Amy Collard,Green Party of Canada,4872,
Ontario,Halton,Halton,Lisa Raitt,Lisa Raitt,Conservative Party of Canada,32986,
Ontario,Halton,Halton,Tony Rodrigues,Tony Rodrigues,Christian Heritage Party of Canada,337,
Ontario,Halton,Halton,Garth Turner,Garth Turner,Liberal Party of Canada,25136,
Ontario,Halton,Halton,Rob Wagner,Rob Wagner,New Democratic Party,6118,
Ontario,Hamilton Centre,Hamilton-Centre,David Christopherson,David Christopherson,New Democratic Party,20010,
Ontario,Hamilton Centre,Hamilton-Centre,Anthony Giles,Anthony Giles,Libertarian Party of Canada,528,
Ontario,Hamilton Centre,Hamilton-Centre,John Livingstone,John Livingstone,Green Party of Canada,3625,
Ontario,Hamilton Centre,Hamilton-Centre,Lisa Nussey,Lisa Nussey,Marxist-Leninist Party of Canada,126,
Ontario,Hamilton Centre,Hamilton-Centre,Leon O'Connor,Leon O'Connor,Conservative Party of Canada,9051,
Ontario,Hamilton Centre,Hamilton-Centre,Ryan Sparrow,Ryan Sparrow,Communist Party of Canada,125,
Ontario,Hamilton Centre,Hamilton-Centre,Helen M. Wilson,Helen M. Wilson,Liberal Party of Canada,7164,
Ontario,Hamilton East--Stoney Creek,Hamilton-Est--Stoney Creek,Sam Cino,Sam Cino,Independent,323,
Ontario,Hamilton East--Stoney Creek,Hamilton-Est--Stoney Creek,Larry Di Ianni,Larry Di Ianni,Liberal Party of Canada,13455,
Ontario,Hamilton East--Stoney Creek,Hamilton-Est--Stoney Creek,David William Hart Dyke,David William Hart Dyke,Green Party of Canada,2142,
Ontario,Hamilton East--Stoney Creek,Hamilton-Est--Stoney Creek,Gord Hill,Gord Hill,Progressive Canadian Party,853,
Ontario,Hamilton East--Stoney Creek,Hamilton-Est--Stoney Creek,Wayne Marston,Wayne Marston,New Democratic Party,19919,
Ontario,Hamilton East--Stoney Creek,Hamilton-Est--Stoney Creek,Frank Rukavina,Frank Rukavina,Conservative Party of Canada,11556,
Ontario,Hamilton Mountain,Hamilton Mountain,Terry Anderson,Terry Anderson,Conservative Party of Canada,16010,
Ontario,Hamilton Mountain,Hamilton Mountain,Tyler Banham,Tyler Banham,Liberal Party of Canada,10531,
Ontario,Hamilton Mountain,Hamilton Mountain,Stephen Brotherston,Stephen Brotherston,Green Party of Canada,2884,
Ontario,Hamilton Mountain,Hamilton Mountain,Chris Charlton,Chris Charlton,New Democratic Party,22796,
Ontario,Huron--Bruce,Huron--Bruce,Dave Joslin,Dave Joslin,Christian Heritage Party of Canada,747,
Ontario,Huron--Bruce,Huron--Bruce,Ben Lobb,Ben Lobb,Conservative Party of Canada,22182,
Ontario,Huron--Bruce,Huron--Bruce,Greg McClinchey,Greg McClinchey,Liberal Party of Canada,16336,
Ontario,Huron--Bruce,Huron--Bruce,Tony McQuail,Tony McQuail,New Democratic Party,7426,
Ontario,Huron--Bruce,Huron--Bruce,Glen Smith,Glen Smith,Green Party of Canada,2617,
Ontario,Huron--Bruce,Huron--Bruce,Dennis Valenta,Dennis Valenta,Independent,242,
Ontario,Kenora,Kenora,Tania Cameron,Tania Cameron,New Democratic Party,5394,
Ontario,Kenora,Kenora,JoJo Holiday,JoJo Holiday,Green Party of Canada,1087,
Ontario,Kenora,Kenora,Greg Rickford,Greg Rickford,Conservative Party of Canada,9395,
Ontario,Kenora,Kenora,Roger Valley,Roger Valley,Liberal Party of Canada,7344,
Ontario,Kingston and the Islands,Kingston et les Îles,Brian Abrams,Brian Abrams,Conservative Party of Canada,18895,
Ontario,Kingston and the Islands,Kingston et les Îles,Rick Downes,Rick Downes,New Democratic Party,10158,
Ontario,Kingston and the Islands,Kingston et les Îles,Peter Milliken,Peter Milliken,Liberal Party of Canada,22734,
Ontario,Kingston and the Islands,Kingston et les Îles,Eric Walton,Eric Walton,Green Party of Canada,6282,
Ontario,Kitchener Centre,Kitchener-Centre,John Bithell,John Bithell,Green Party of Canada,3823,
Ontario,Kitchener Centre,Kitchener-Centre,Oz Cole-Arnal,Oz Cole-Arnal,New Democratic Party,8122,
Ontario,Kitchener Centre,Kitchener-Centre,Amanda Lamka,Amanda Lamka,Independent,215,
Ontario,Kitchener Centre,Kitchener-Centre,Karen Redman,Karen Redman,Liberal Party of Canada,16141,
Ontario,Kitchener Centre,Kitchener-Centre,Martin Suter,Martin Suter,Communist Party of Canada,127,
Ontario,Kitchener Centre,Kitchener-Centre,Stephen Woodworth,Stephen Woodworth,Conservative Party of Canada,16480,
Ontario,Kitchener--Conestoga,Kitchener--Conestoga,Harold Albrecht,Harold Albrecht,Conservative Party of Canada,23525,
Ontario,Kitchener--Conestoga,Kitchener--Conestoga,Orlando Da Silva,Orlando Da Silva,Liberal Party of Canada,11876,
Ontario,Kitchener--Conestoga,Kitchener--Conestoga,Jamie Kropf,Jamie Kropf,Green Party of Canada,5124,
Ontario,Kitchener--Conestoga,Kitchener--Conestoga,Rod McNeil,Rod McNeil,New Democratic Party,7173,
Ontario,Kitchener--Waterloo,Kitchener--Waterloo,Peter Braid,Peter Braid,Conservative Party of Canada,21830,
Ontario,Kitchener--Waterloo,Kitchener--Waterloo,Mark Corbiere,Mark Corbiere,Independent,107,
Ontario,Kitchener--Waterloo,Kitchener--Waterloo,Jason Cousineau,Jason Cousineau,Libertarian Party of Canada,333,
Ontario,Kitchener--Waterloo,Kitchener--Waterloo,Kyle James Huntingdon,Kyle James Huntingdon,Canadian Action Party,105,
Ontario,Kitchener--Waterloo,Kitchener--Waterloo,Cindy Jacobsen,Cindy Jacobsen,New Democratic Party,8915,
Ontario,Kitchener--Waterloo,Kitchener--Waterloo,Cathy MacLellan,Cathy MacLellan,Green Party of Canada,7326,
Ontario,Kitchener--Waterloo,Kitchener--Waterloo,Ramon Portillo,Ramon Portillo,Communist Party of Canada,105,
Ontario,Kitchener--Waterloo,Kitchener--Waterloo,Andrew Telegdi,Andrew Telegdi,Liberal Party of Canada,21813,
Ontario,Lanark--Frontenac--Lennox and Addington,Lanark--Frontenac--Lennox and Addington,Ernest Oliver Rathwell,Ernest Oliver Rathwell,Marijuana Party,347,
Ontario,Lanark--Frontenac--Lennox and Addington,Lanark--Frontenac--Lennox and Addington,Scott Reid,Scott Reid,Conservative Party of Canada,30272,
Ontario,Lanark--Frontenac--Lennox and Addington,Lanark--Frontenac--Lennox and Addington,David Remington,David Remington,Liberal Party of Canada,11809,
Ontario,Lanark--Frontenac--Lennox and Addington,Lanark--Frontenac--Lennox and Addington,Chris Walker,Chris Walker,Green Party of Canada,4629,
Ontario,Lanark--Frontenac--Lennox and Addington,Lanark--Frontenac--Lennox and Addington,Sandra Willard,Sandra Willard,New Democratic Party,7112,
Ontario,Leeds--Grenville,Leeds--Grenville,Steve Armstrong,Steve Armstrong,New Democratic Party,6511,
Ontario,Leeds--Grenville,Leeds--Grenville,Gord Brown,Gord Brown,Conservative Party of Canada,27473,
Ontario,Leeds--Grenville,Leeds--Grenville,Marjory Loveys,Marjory Loveys,Liberal Party of Canada,8075,
Ontario,Leeds--Grenville,Leeds--Grenville,John McCrea,John McCrea,Progressive Canadian Party,426,
Ontario,Leeds--Grenville,Leeds--Grenville,Jeanie Warnock,Jeanie Warnock,Green Party of Canada,4522,
Ontario,London--Fanshawe,London--Fanshawe,Mary Lou Ambrogio,Mary Lou Ambrogio,Conservative Party of Canada,12659,
Ontario,London--Fanshawe,London--Fanshawe,Jacquie Gauthier,Jacquie Gauthier,Liberal Party of Canada,7774,
Ontario,London--Fanshawe,London--Fanshawe,Irene Mathyssen,Irene Mathyssen,New Democratic Party,17672,
Ontario,London--Fanshawe,London--Fanshawe,Daniel O'Neail,Daniel O'Neail,Green Party of Canada,2656,
Ontario,London--Fanshawe,London--Fanshawe,Leonard Vanderhoeven,Leonard Vanderhoeven,Christian Heritage Party of Canada,276,
Ontario,London North Centre,London-Centre-Nord,Mary Ann Hodge,Mary Ann Hodge,Green Party of Canada,5603,
Ontario,London North Centre,London-Centre-Nord,Steve Holmes,Steve Holmes,New Democratic Party,9387,
Ontario,London North Centre,London-Centre-Nord,Glen Pearson,Glen Pearson,Liberal Party of Canada,21018,
Ontario,London North Centre,London-Centre-Nord,Paul Van Meerbergen,Paul Van Meerbergen,Conservative Party of Canada,17712,
Ontario,London West,London-Ouest,Sue Barnes,Sue Barnes,Liberal Party of Canada,20435,
Ontario,London West,London-Ouest,Leslie Bartley,Leslie Bartley,Christian Heritage Party of Canada,253,
Ontario,London West,London-Ouest,Peter Lawrence Ferguson,Peter Lawrence Ferguson,New Democratic Party,8409,
Ontario,London West,London-Ouest,Ed Holder,Ed Holder,Conservative Party of Canada,22556,
Ontario,London West,London-Ouest,Steve Hunter,Steve Hunter,Progressive Canadian Party,414,
Ontario,London West,London-Ouest,Monica Jarabek,Monica Jarabek,Green Party of Canada,5630,
Ontario,Markham--Unionville,Markham--Unionville,Leonard Aitken,Leonard Aitken,Green Party of Canada,1921,
Ontario,Markham--Unionville,Markham--Unionville,Duncan Fletcher,Duncan Fletcher,Conservative Party of Canada,13855,
Ontario,Markham--Unionville,Markham--Unionville,Nadine Hawkins,Nadine Hawkins,New Democratic Party,4682,
Ontario,Markham--Unionville,Markham--Unionville,John McCallum,John McCallum,Liberal Party of Canada,25296,
Ontario,Markham--Unionville,Markham--Unionville,Allen Small,Allen Small,Libertarian Party of Canada,225,
Ontario,Lambton--Kent--Middlesex,Lambton--Kent--Middlesex,Joe Hill,Joe Hill,New Democratic Party,7427,
Ontario,Lambton--Kent--Middlesex,Lambton--Kent--Middlesex,Micheal Janssens,Micheal Janssens,Christian Heritage Party of Canada,663,
Ontario,Lambton--Kent--Middlesex,Lambton--Kent--Middlesex,Jim Johnston,Jim Johnston,Green Party of Canada,3386,
Ontario,Lambton--Kent--Middlesex,Lambton--Kent--Middlesex,Bev Shipley,Bev Shipley,Conservative Party of Canada,24516,
Ontario,Lambton--Kent--Middlesex,Lambton--Kent--Middlesex,Jeff Wesley,Jeff Wesley,Liberal Party of Canada,11812,
Ontario,Mississauga--Brampton South,Mississauga--Brampton-Sud,Salma Ataullahjan,Salma Ataullahjan,Conservative Party of Canada,14664,
Ontario,Mississauga--Brampton South,Mississauga--Brampton-Sud,Navdeep Bains,Navdeep Bains,Liberal Party of Canada,21220,
Ontario,Mississauga--Brampton South,Mississauga--Brampton-Sud,Karan Pandher,Karan Pandher,New Democratic Party,5268,
Ontario,Mississauga--Brampton South,Mississauga--Brampton-Sud,Tim Sullivan,Tim Sullivan,Marxist-Leninist Party of Canada,395,
Ontario,Mississauga--Brampton South,Mississauga--Brampton-Sud,Grace Yogaretnam,Grace Yogaretnam,Green Party of Canada,2947,
Ontario,Mississauga East--Cooksville,Mississauga-Est--Cooksville,Satish Balasunderam,Satish Balasunderam,New Democratic Party,4632,
Ontario,Mississauga East--Cooksville,Mississauga-Est--Cooksville,Melissa Bhagat,Melissa Bhagat,Conservative Party of Canada,13277,
Ontario,Mississauga East--Cooksville,Mississauga-Est--Cooksville,Jaymini Bhikha,Jaymini Bhikha,Green Party of Canada,2138,
Ontario,Mississauga East--Cooksville,Mississauga-Est--Cooksville,Pierre Chénier,Pierre Chénier,Marxist-Leninist Party of Canada,277,
Ontario,Mississauga East--Cooksville,Mississauga-Est--Cooksville,Albina Guarnieri,Albina Guarnieri,Liberal Party of Canada,20457,
Ontario,Mississauga--Erindale,Mississauga--Erindale,Omar Alghabra,Omar Alghabra,Liberal Party of Canada,23466,
Ontario,Mississauga--Erindale,Mississauga--Erindale,Bob Dechert,Bob Dechert,Conservative Party of Canada,23863,
Ontario,Mississauga--Erindale,Mississauga--Erindale,Richard Pietro,Richard Pietro,Green Party of Canada,3636,
Ontario,Mississauga--Erindale,Mississauga--Erindale,Mustafa Rizvi,Mustafa Rizvi,New Democratic Party,4774,
Ontario,Mississauga--Erindale,Mississauga--Erindale,Dagmar Sullivan,Dagmar Sullivan,Marxist-Leninist Party of Canada,129,
Ontario,Mississauga South,Mississauga-Sud,Hugh Arrison,Hugh Arrison,Conservative Party of Canada,18366,
Ontario,Mississauga South,Mississauga-Sud,Richard Laushway,Richard Laushway,Green Party of Canada,3407,
Ontario,Mississauga South,Mississauga-Sud,Paul Szabo,Paul Szabo,Liberal Party of Canada,20518,
Ontario,Mississauga South,Mississauga-Sud,Matt Turner,Matt Turner,New Democratic Party,4104,
Ontario,Mississauga--Streetsville,Mississauga--Streetsville,Ralph Bunag,Ralph Bunag,Independent,426,
Ontario,Mississauga--Streetsville,Mississauga--Streetsville,Otto Casanova,Otto Casanova,Green Party of Canada,3179,
Ontario,Mississauga--Streetsville,Mississauga--Streetsville,Bonnie Crombie,Bonnie Crombie,Liberal Party of Canada,21710,
Ontario,Mississauga--Streetsville,Mississauga--Streetsville,Wajid Khan,Wajid Khan,Conservative Party of Canada,16985,
Ontario,Mississauga--Streetsville,Mississauga--Streetsville,Keith Pinto,Keith Pinto,New Democratic Party,4710,
Ontario,Mississauga--Streetsville,Mississauga--Streetsville,Viktor Spanovic,Viktor Spanovic,Independent,431,
Ontario,Nepean--Carleton,Nepean--Carleton,Phil Brown,Phil Brown,New Democratic Party,6946,
Ontario,Nepean--Carleton,Nepean--Carleton,Lori Gadzala,Lori Gadzala,Green Party of Canada,7880,
Ontario,Nepean--Carleton,Nepean--Carleton,Ed Mahfouz,Ed Mahfouz,Liberal Party of Canada,16743,
Ontario,Nepean--Carleton,Nepean--Carleton,Pierre Poilievre,Pierre Poilievre,Conservative Party of Canada,39921,
Ontario,Newmarket--Aurora,Newmarket--Aurora,Dorian Baxter,Dorian Baxter,Progressive Canadian Party,1004,
Ontario,Newmarket--Aurora,Newmarket--Aurora,Lois Brown,Lois Brown,Conservative Party of Canada,24873,
Ontario,Newmarket--Aurora,Newmarket--Aurora,Glenn Hubbers,Glenn Hubbers,Green Party of Canada,4381,
Ontario,Newmarket--Aurora,Newmarket--Aurora,Tim Jones,Tim Jones,Liberal Party of Canada,18250,
Ontario,Newmarket--Aurora,Newmarket--Aurora,Ray Luff,Ray Luff,Christian Heritage Party of Canada,205,
Ontario,Newmarket--Aurora,Newmarket--Aurora,Mike Seaward,Mike Seaward,New Democratic Party,4548,
Ontario,Niagara Falls,Niagara Falls,Eric Gillespie,Eric Gillespie,New Democratic Party,9186,
Ontario,Niagara Falls,Niagara Falls,Joyce Morocco,Joyce Morocco,Liberal Party of Canada,13867,
Ontario,Niagara Falls,Niagara Falls,Rob Nicholson,Rob Nicholson,Conservative Party of Canada,24016,
Ontario,Niagara Falls,Niagara Falls,Shawn Willick,Shawn Willick,Green Party of Canada,4356,
Ontario,Niagara West--Glanbrook,Niagara-Ouest--Glanbrook,Dean Allison,Dean Allison,Conservative Party of Canada,28089,
Ontario,Niagara West--Glanbrook,Niagara-Ouest--Glanbrook,Dave Bylsma,Dave Bylsma,Christian Heritage Party of Canada,1118,
Ontario,Niagara West--Glanbrook,Niagara-Ouest--Glanbrook,Heather Carter,Heather Carter,Liberal Party of Canada,12955,
Ontario,Niagara West--Glanbrook,Niagara-Ouest--Glanbrook,Sid Frere,Sid Frere,Green Party of Canada,3897,
Ontario,Niagara West--Glanbrook,Niagara-Ouest--Glanbrook,Dave Heatley,Dave Heatley,New Democratic Party,7980,
Ontario,Nickel Belt,Nickel Belt,Claude Gravelle,Claude Gravelle,New Democratic Party,19021,
Ontario,Nickel Belt,Nickel Belt,Ian McCracken,Ian McCracken,Conservative Party of Canada,8869,
Ontario,Nickel Belt,Nickel Belt,Louise Portelance,Louise Portelance,Liberal Party of Canada,10748,
Ontario,Nickel Belt,Nickel Belt,Steve Rutchinski,Steve Rutchinski,Marxist-Leninist Party of Canada,66,
Ontario,Nickel Belt,Nickel Belt,Fred Twilley,Fred Twilley,Green Party of Canada,2056,
Ontario,Nickel Belt,Nickel Belt,Yves Villeneuve,Yves Villeneuve,Independent,112,
Ontario,Nipissing--Timiskaming,Nipissing--Timiskaming,Dianna Allen,Dianna Allen,New Democratic Party,6582,
Ontario,Nipissing--Timiskaming,Nipissing--Timiskaming,Craig Bridges,Craig Bridges,Green Party of Canada,2808,
Ontario,Nipissing--Timiskaming,Nipissing--Timiskaming,Andrew Moulden,Andrew Moulden,Canadian Action Party,204,
Ontario,Nipissing--Timiskaming,Nipissing--Timiskaming,Anthony Rota,Anthony Rota,Liberal Party of Canada,18510,
Ontario,Nipissing--Timiskaming,Nipissing--Timiskaming,Joe Sinicrope,Joe Sinicrope,Conservative Party of Canada,13432,
Ontario,Northumberland--Quinte West,Northumberland--Quinte West,Russ Christianson,Russ Christianson,New Democratic Party,8230,
Ontario,Northumberland--Quinte West,Northumberland--Quinte West,Paul Macklin,Paul Macklin,Liberal Party of Canada,16209,
Ontario,Northumberland--Quinte West,Northumberland--Quinte West,Rick Norlock,Rick Norlock,Conservative Party of Canada,27615,
Ontario,Northumberland--Quinte West,Northumberland--Quinte West,Ralph Torrie,Ralph Torrie,Green Party of Canada,4633,
Ontario,Oak Ridges--Markham,Oak Ridges--Markham,Andy Arifin,Andy Arifin,New Democratic Party,7126,
Ontario,Oak Ridges--Markham,Oak Ridges--Markham,Paul Calandra,Paul Calandra,Conservative Party of Canada,32028,
Ontario,Oak Ridges--Markham,Oak Ridges--Markham,Richard Taylor,Richard Taylor,Green Party of Canada,5184,
Ontario,Oak Ridges--Markham,Oak Ridges--Markham,Lui Temelkovski,Lui Temelkovski,Liberal Party of Canada,31483,
Ontario,Oakville,Oakville,Michelle Bilek,Michelle Bilek,New Democratic Party,4143,
Ontario,Oakville,Oakville,M.A. Bonnie Brown,M.A. Bonnie Brown,Liberal Party of Canada,20528,
Ontario,Oakville,Oakville,Blake Poland,Blake Poland,Green Party of Canada,4681,
Ontario,Oakville,Oakville,Terence Young,Terence Young,Conservative Party of Canada,26011,
Ontario,Oshawa,Oshawa,Colin Carrie,Colin Carrie,Conservative Party of Canada,19951,
Ontario,Oshawa,Oshawa,David Gershuny,David Gershuny,Marxist-Leninist Party of Canada,117,
Ontario,Oshawa,Oshawa,Sean Godfrey,Sean Godfrey,Liberal Party of Canada,7741,
Ontario,Oshawa,Oshawa,Pat Gostlin,Pat Gostlin,Green Party of Canada,3374,
Ontario,Oshawa,Oshawa,Alex Kreider,Alex Kreider,Canadian Action Party,52,
Ontario,Oshawa,Oshawa,Mike Shields,Mike Shields,New Democratic Party,16750,
Ontario,Oshawa,Oshawa,Peter Vogel,Peter Vogel,Christian Heritage Party of Canada,246,
Ontario,Ottawa Centre,Ottawa-Centre,John Andrew Akpata,John Andrew Akpata,Marijuana Party,378,
Ontario,Ottawa Centre,Ottawa-Centre,Penny Collenette,Penny Collenette,Liberal Party of Canada,16633,
Ontario,Ottawa Centre,Ottawa-Centre,Paul Dewar,Paul Dewar,New Democratic Party,25399,
Ontario,Ottawa Centre,Ottawa-Centre,Jen Hunter,Jen Hunter,Green Party of Canada,6348,
Ontario,Ottawa Centre,Ottawa-Centre,Brian McGarry,Brian McGarry,Conservative Party of Canada,15065,
Ontario,Ottawa Centre,Ottawa-Centre,Pierre Soublière,Pierre Soublière,Marxist-Leninist Party of Canada,95,
Ontario,Ottawa--Orléans,Ottawa--Orléans,Royal Galipeau,Royal Galipeau,Conservative Party of Canada,27244,
Ontario,Ottawa--Orléans,Ottawa--Orléans,Marc Godbout,Marc Godbout,Liberal Party of Canada,23549,
Ontario,Ottawa--Orléans,Ottawa--Orléans,Paul Maillet,Paul Maillet,Green Party of Canada,3845,
Ontario,Ottawa--Orléans,Ottawa--Orléans,Amy O'Dell,Amy O'Dell,New Democratic Party,6025,
Ontario,Ottawa South,Ottawa-Sud,Jean-Serge Brisson,Jean-Serge Brisson,Libertarian Party of Canada,244,
Ontario,Ottawa South,Ottawa-Sud,Hijal De Sarkar,Hijal De Sarkar,New Democratic Party,4920,
Ontario,Ottawa South,Ottawa-Sud,Qais Ghanem,Qais Ghanem,Green Party of Canada,3939,
Ontario,Ottawa South,Ottawa-Sud,Al Gullon,Al Gullon,Progressive Canadian Party,620,
Ontario,Ottawa South,Ottawa-Sud,David McGuinty,David McGuinty,Liberal Party of Canada,29035,
Ontario,Ottawa South,Ottawa-Sud,Elie Salibi,Elie Salibi,Conservative Party of Canada,19417,
Ontario,Ottawa--Vanier,Ottawa--Vanier,Mauril Bélanger,Mauril Bélanger,Liberal Party of Canada,23948,
Ontario,Ottawa--Vanier,Ottawa--Vanier,Patrick Glémaud,Patrick Glémaud,Conservative Party of Canada,14138,
Ontario,Ottawa--Vanier,Ottawa--Vanier,Trevor Haché,Trevor Haché,New Democratic Party,8845,
Ontario,Ottawa--Vanier,Ottawa--Vanier,Christian Legeais,Christian Legeais,Marxist-Leninist Party of Canada,130,
Ontario,Ottawa--Vanier,Ottawa--Vanier,Akbar Manoussi,Akbar Manoussi,Green Party of Canada,4447,
Ontario,Ottawa--Vanier,Ottawa--Vanier,Michel St-Onge,Michel St-Onge,Canadian Action Party,100,
Ontario,Ottawa--Vanier,Ottawa--Vanier,Robert Taylor-Larter,Robert Taylor-Larter,Independent,227,
Ontario,Ottawa West--Nepean,Ottawa-Ouest--Nepean,John Baird,John Baird,Conservative Party of Canada,25109,
Ontario,Ottawa West--Nepean,Ottawa-Ouest--Nepean,Frances Coates,Frances Coates,Green Party of Canada,3558,
Ontario,Ottawa West--Nepean,Ottawa-Ouest--Nepean,Alex McDonald,Alex McDonald,Communist Party of Canada,150,
Ontario,Ottawa West--Nepean,Ottawa-Ouest--Nepean,David Page,David Page,Independent,414,
Ontario,Ottawa West--Nepean,Ottawa-Ouest--Nepean,David Pratt,David Pratt,Liberal Party of Canada,20161,
Ontario,Ottawa West--Nepean,Ottawa-Ouest--Nepean,Marlene Rivier,Marlene Rivier,New Democratic Party,6432,
Ontario,Oxford,Oxford,Diane Abbott,Diane Abbott,New Democratic Party,7982,
Ontario,Oxford,Oxford,Martha Dennis,Martha Dennis,Liberal Party of Canada,8586,
Ontario,Oxford,Oxford,Shaun MacDonald,Shaun MacDonald,Christian Heritage Party of Canada,1036,
Ontario,Oxford,Oxford,Dave MacKenzie,Dave MacKenzie,Conservative Party of Canada,23330,
Ontario,Oxford,Oxford,Cathy Mott,Cathy Mott,Green Party of Canada,3355,
Ontario,Parkdale--High Park,Parkdale--High Park,Andrew Borkowski,Andrew Borkowski,Christian Heritage Party of Canada,230,
Ontario,Parkdale--High Park,Parkdale--High Park,Lorne Gershuny,Lorne Gershuny,Marxist-Leninist Party of Canada,110,
Ontario,Parkdale--High Park,Parkdale--High Park,Gerard Kennedy,Gerard Kennedy,Liberal Party of Canada,20705,
Ontario,Parkdale--High Park,Parkdale--High Park,Peggy Nash,Peggy Nash,New Democratic Party,17332,
Ontario,Parkdale--High Park,Parkdale--High Park,Terry Parker,Terry Parker,Marijuana Party,209,
Ontario,Parkdale--High Park,Parkdale--High Park,Robert Rishchynski,Robert Rishchynski,Green Party of Canada,3601,
Ontario,Parkdale--High Park,Parkdale--High Park,Jilian Saweczko,Jilian Saweczko,Conservative Party of Canada,5992,
Ontario,Parry Sound--Muskoka,Parry Sound--Muskoka,Jo-Anne Boulding,Jo-Anne Boulding,New Democratic Party,5355,
Ontario,Parry Sound--Muskoka,Parry Sound--Muskoka,Tony Clement,Tony Clement,Conservative Party of Canada,21831,
Ontario,Parry Sound--Muskoka,Parry Sound--Muskoka,Glen Hodgson,Glen Hodgson,Green Party of Canada,5119,
Ontario,Parry Sound--Muskoka,Parry Sound--Muskoka,Jamie McGarvey,Jamie McGarvey,Liberal Party of Canada,10871,
Ontario,Parry Sound--Muskoka,Parry Sound--Muskoka,David Rowland,David Rowland,Independent,325,
Ontario,Perth--Wellington,Perth--Wellington,John Cowling,John Cowling,Green Party of Canada,3874,
Ontario,Perth--Wellington,Perth--Wellington,Irma DeVries,Irma DeVries,Christian Heritage Party of Canada,898,
Ontario,Perth--Wellington,Perth--Wellington,Sandra Gardiner,Sandra Gardiner,Liberal Party of Canada,10225,
Ontario,Perth--Wellington,Perth--Wellington,Julian Ichim,Julian Ichim,Marxist-Leninist Party of Canada,84,
Ontario,Perth--Wellington,Perth--Wellington,Kerry McManus,Kerry McManus,New Democratic Party,7334,
Ontario,Perth--Wellington,Perth--Wellington,Gary Ralph Schellenberger,Gary Ralph Schellenberger,Conservative Party of Canada,20765,
