Province,Riding English,Riding French,Candidate English,Candidate French,Party,Votes,Elected
Yukon,Yukon,Yukon,Darrell Pasloski,Darrell Pasloski,Conservative Party of Canada,4758,
Yukon,Yukon,Yukon,John Streicker,John Streicker,Green Party of Canada,1880,
Northwest Territories,Western Arctic,Western Arctic,Brendan Bell,Brendan Bell,Conservative Party of Canada,5146,
Northwest Territories,Western Arctic,Western Arctic,Dennis Bevington,Dennis Bevington,New Democratic Party,5669,
Northwest Territories,Western Arctic,Western Arctic,Sam Gamble,Sam Gamble,Green Party of Canada,752,
Northwest Territories,Western Arctic,Western Arctic,Gabrielle Mackenzie-Scott,Gabrielle Mackenzie-Scott,Liberal Party of Canada,1858,
Northwest Territories,Western Arctic,Western Arctic,Noeline Villebrun,Noeline Villebrun,First Peoples National Party of Canada,252,
Nunavut,Nunavut,Nunavut,Leona Aglukkaq,Leona Aglukkaq,Conservative Party of Canada,2806,
Nunavut,Nunavut,Nunavut,Kirt Kootoo Ejesiak,Kirt Kootoo Ejesiak,Liberal Party of Canada,2359,
Nunavut,Nunavut,Nunavut,Paul Irngaut,Paul Irngaut,New Democratic Party,2228,
Nunavut,Nunavut,Nunavut,Peter Ittinuar,Peter Ittinuar,Green Party of Canada,675,
